start-x	start-y	end-x	end-y	distance
1536.287	1786.613	1561.0528	1786.6467	51.9858177
1536.287	1786.613	1535.7457	1807.3386	43.73364306994077
2340.7143	566.85714	2343.2142	542.92857	50.227561307636904
2340.7143	566.85714	2353.2143	577.92857	36.92082196950644
960.10691	1565.8165	953.79294	1564.1007	13.967089426339344
960.10691	1565.8165	972.80717	1568.2906	27.0127546465914
2307.6622	2390.3141	2308.9062	2401.606	23.71672607140968
2307.6622	2390.3141	2307.3751	2380.3619	20.5812943940772
2307.6622	2390.3141	2317.6144	2388.6873	21.0529575627321
2307.6622	2390.3141	2296.9445	2390.6012	22.57867128930771
3753.5638	1626.3801	3730.828	1636.124	51.64094600021913
3753.5638	1626.3801	3771.4276	1603.6444	59.67247973175071
2157.9826	977.00687	2136.4726	997.05633	60.412648722075204
2157.9826	977.00687	2122.583	921.79996	136.42121912680426
2157.9826	977.00687	2186.9282	949.53226	82.96230064171412
2157.9826	977.00687	2167.0297	1027.1083	105.48943605150306
2157.9826	977.00687	2190.0107	1004.6325	86.94281317071687
2157.9826	977.00687	2118.0373	968.77206	85.4922174020619
2389.672	1296.6267	2391.5859	1310.7894	29.95372289275092
2389.672	1296.6267	2384.3132	1262.1769	75.27882070485057
2389.672	1296.6267	2373.8198	1301.5099	35.46864728169228
2065.7619	1067.767	2015.2543	1118.0221	144.27552464434763
2065.7619	1067.767	2110.9663	1023.0677	129.36347528141948
1957.1705	1132.9218	1952.8774	1142.7708	21.35090099305332
1957.1705	1132.9218	1940.7556	1128.8812	34.756676796603415
1957.1705	1132.9218	1994.0411	1138.7302	76.362069749814
926.50173	1658.5703	928.01791	1670.8163	26.00298470335749
926.50173	1658.5703	919.73724	1670.4664	28.33233972828423
926.50173	1658.5703	941.66351	1622.2986	81.7949191203776
926.50173	1658.5703	1002.3312	1658.5119	158.3976808998604
2257.8571	410.78571	2258.2143	431.5	44.7426614131995
2257.8571	410.78571	2278.2143	411.85714	43.30305441403866
